INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1926,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1927,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1928,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1929,Wobbegong Shark,Orectolobidae,5,,,,,,,,
1930,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1931,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1932,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1933,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1934,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1935,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1936,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1937,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1938,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1939,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1940,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1941,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1942,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1943,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1944,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1945,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1946,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1947,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1948,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1949,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1950,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1951,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1952,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1953,Wobbegong Shark,Orectolobidae,3,,,,,,,,
1954,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1955,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1956,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1957,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1958,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1959,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1960,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1961,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1962,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1963,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1964,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1965,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1966,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1967,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1968,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1969,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1970,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1971,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1972,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1973,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1974,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1975,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1976,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1977,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1978,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1979,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1980,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1981,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1982,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1983,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1984,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1985,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1986,Wobbegong Shark,Orectolobidae,3,,,,,,,,
1987,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1988,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1989,Wobbegong Shark,Orectolobidae,3,,,,,,,,
1990,Wobbegong Shark,Orectolobidae,1,,,,,,,,
1991,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1992,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1993,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1994,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1995,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1996,Wobbegong Shark,Orectolobidae,6,,,,,,,,
1997,Wobbegong Shark,Orectolobidae,2,,,,,,,,
1998,Wobbegong Shark,Orectolobidae,5,,,,,,,,
1999,Wobbegong Shark,Orectolobidae,1,,,,,,,,
2000,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2001,Wobbegong Shark,Orectolobidae,4,,,,,,,,
2002,Wobbegong Shark,Orectolobidae,2,,,,,,,,
2003,Wobbegong Shark,Orectolobidae,8,,,,,,,,
2004,Wobbegong Shark,Orectolobidae,9,,,,,,,,
2005,Wobbegong Shark,Orectolobidae,1,,,,,,,,
2006,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2007,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2008,Wobbegong Shark,Orectolobidae,5,,,,,,,,
2009,Wobbegong Shark,Orectolobidae,4,,,,,,,,
2010,Wobbegong Shark,Orectolobidae,2,,,,,,,,
2011,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2012,Wobbegong Shark,Orectolobidae,2,,,,,,,,
2013,Wobbegong Shark,Orectolobidae,5,,,,,,,,
2014,Wobbegong Shark,Orectolobidae,8,,,,,,,,
2015,Wobbegong Shark,Orectolobidae,4,,,,,,,,
2016,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2017,Wobbegong Shark,Orectolobidae,2,,,,,,,,
2018,Wobbegong Shark,Orectolobidae,8,,,,,,,,
2019,Wobbegong Shark,Orectolobidae,2,,,,,,,,
2020,Wobbegong Shark,Orectolobidae,3,,,,,,,,
2021,Wobbegong Shark,Orectolobidae,6,,,,,,,,
2022,Wobbegong Shark,Orectolobidae,6,,,,,,,,
2023,Wobbegong Shark,Orectolobidae,1,,,,,,,,
2024,Wobbegong Shark,Orectolobidae,0,,,,,,,,
1791,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1792,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1793,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1794,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1795,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1796,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1797,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1798,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1799,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1800,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1801,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1802,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1803,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1804,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1805,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1806,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1807,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1808,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1809,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1810,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1811,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1812,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1813,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1814,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1815,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1816,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1817,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1818,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1819,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1820,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1821,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1822,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1823,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1824,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1825,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1826,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1827,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1828,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1829,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1830,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1831,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1832,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1833,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1834,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1835,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1836,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1837,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1838,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1839,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1840,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1841,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1842,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1843,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1844,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1845,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1846,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1847,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1848,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1849,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1850,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1851,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1852,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1853,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1854,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1855,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1856,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1857,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1858,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1859,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1860,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1861,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1862,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1863,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1864,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1865,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1866,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1867,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1868,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1869,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1870,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1871,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1872,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1873,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1874,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1875,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1876,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1877,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1878,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1879,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1880,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1881,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1882,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1883,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1884,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1885,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1886,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1887,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1888,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1889,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1890,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1891,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1892,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1893,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1894,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1895,Bull Shark,Carcharhinus leucas,4,,,,,,,,
1896,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1897,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1898,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1899,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1900,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1901,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1902,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1903,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1904,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1905,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1906,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1907,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1908,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1909,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1910,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1911,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1912,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1913,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1914,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1915,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1916,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1917,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1918,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1919,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1920,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1921,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1922,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1923,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1924,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1925,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1926,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1927,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1928,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1929,Bull Shark,Carcharhinus leucas,4,,,,,,,,
1930,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1931,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1932,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1933,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1934,Bull Shark,Carcharhinus leucas,5,,,,,,,,
1935,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1936,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1937,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1938,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1939,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1940,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1941,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1942,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1943,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1944,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1945,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1946,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1947,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1948,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1949,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1950,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1951,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1952,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1953,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1954,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1955,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1956,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1957,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1958,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1959,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1960,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1961,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1962,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1963,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1964,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1965,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1966,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1967,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1968,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1969,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1970,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1971,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1972,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1973,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1974,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1975,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1976,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1977,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1978,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1979,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1980,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1981,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1982,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1983,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1984,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1985,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1986,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1987,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1988,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1989,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1990,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1991,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1992,Bull Shark,Carcharhinus leucas,1,,,,,,,,
1993,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1994,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1995,Bull Shark,Carcharhinus leucas,3,,,,,,,,
1996,Bull Shark,Carcharhinus leucas,2,,,,,,,,
1997,Bull Shark,Carcharhinus leucas,4,,,,,,,,
1998,Bull Shark,Carcharhinus leucas,0,,,,,,,,
1999,Bull Shark,Carcharhinus leucas,0,,,,,,,,
2000,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2001,Bull Shark,Carcharhinus leucas,0,,,,,,,,
2002,Bull Shark,Carcharhinus leucas,4,,,,,,,,
2003,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2004,Bull Shark,Carcharhinus leucas,0,,,,,,,,
2005,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2006,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2007,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2008,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2009,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2010,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2011,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2012,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2013,Bull Shark,Carcharhinus leucas,0,,,,,,,,
2014,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2015,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2016,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2017,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2018,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2019,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2020,Bull Shark,Carcharhinus leucas,6,,,,,,,,
2021,Bull Shark,Carcharhinus leucas,4,,,,,,,,
2022,Bull Shark,Carcharhinus leucas,2,,,,,,,,
2023,Bull Shark,Carcharhinus leucas,1,,,,,,,,
2024,Bull Shark,Carcharhinus leucas,1,,,,,,,,
